bs id,site,Part site name,Species,pop id,Year,Count,Method,Reliability,Survey accuracy,Notes,References,from,date submitted,Version
1200,Albatross Island (SGSSI (IGSISS)),,Diomedea exulans,1635,1947,159,A,6,Unknown,,"Rankin 1951, Croxall 1979, Ardea 67: 15-21","Anton Wolfaardt, JNCC",2-Apr-10,1
1200,Albatross Island (SGSSI (IGSISS)),,Diomedea exulans,1636,1977,152,D,1,,,"Croxall 1979, Ardea 67: 15-21","A. Wolfaardt, JNCC",2-Apr-10,2
1200,Albatross Island (SGSSI (IGSISS)),,Diomedea exulans,1637,1978,145,D,1,High,,"Croxall 1979, Ardea 67: 15-21","A. Wolfaardt, JNCC",2-Apr-10,2
1200,Albatross Island (SGSSI (IGSISS)),,Diomedea exulans,489,1984,171,A,,,,Poncet et al 2006. Polar Biology 29: 772-781.,"W. Misiak, ACAP Secretariat.",21-Jan-10,2
1200,Albatross Island (SGSSI (IGSISS)),,Diomedea exulans,1638,1988,125,A,1,High,,"P. Prince, BAS, unpubl. data","Anton Wolfaardt, JNCC",2-Apr-10,1
1200,Albatross Island (SGSSI (IGSISS)),,Diomedea exulans,1639,1994,172,H,1,High,Count corrected for egg loss,"J. Hunter, M. Riddy, unpubl. data","Anton Wolfaardt, JNCC",14-Sep-12,2
1200,Albatross Island (SGSSI (IGSISS)),,Diomedea exulans,1640,1999,179,A,1,High,,"S. Poncet, unpubl. data","A. Wolfaardt, JNCC",2-Apr-10,1
1200,Albatross Island (SGSSI (IGSISS)),,Diomedea exulans,1641,2000,158,A,1,High,,"S. Poncet, unpubl. data","A. Wolfaardt, JNCC",2-Apr-10,1
1200,Albatross Island (SGSSI (IGSISS)),,Diomedea exulans,1642,2001,175,A,1,High,,"S. Poncet, unpubl. data","A. Wolfaardt, JNCC",2-Apr-10,1
1200,Albatross Island (SGSSI (IGSISS)),,Diomedea exulans,1643,2002,133,A,1,High,,"S. Poncet, unpubl. data","A. Wolfaardt, JNCC",2-Apr-10,1
1200,Albatross Island (SGSSI (IGSISS)),,Diomedea exulans,1644,2003,144,A,1,High,,"S. Poncet, unpubl. data","A. Wolfaardt, JNCC",2-Apr-10,1
1200,Albatross Island (SGSSI (IGSISS)),,Diomedea exulans,725,2004,155,A,,,,Poncet et al 2006. Polar Biology 29: 772–781.,"W. Misiak, ACAP Secretariat.",21-Jan-10,2
1200,Albatross Island (SGSSI (IGSISS)),,Diomedea exulans,1645,2005,144,A,1,High,,"S. Poncet, unpubl. data","A. Wolfaardt, JNCC",2-Apr-10,1
1200,Albatross Island (SGSSI (IGSISS)),,Diomedea exulans,1646,2006,154,H,1,High,Corrected for egg loss,"S. Poncet, unpubl. data","A. Wolfaardt, JNCC",14-Sep-12,2
1200,Albatross Island (SGSSI (IGSISS)),,Diomedea exulans,1647,2007,131,A,1,High,,"S. Poncet, unpubl. data","A. Wolfaardt, JNCC",2-Apr-10,1
1200,Albatross Island (SGSSI (IGSISS)),,Diomedea exulans,1353,2008,151,A,1,High,Count uncorrected for egg loses.,"http://www.sgisland.gs/index.php/(h)South_Georgia_Newsletter,_Jan_2010","W. Misiak, ACAP Secretariat.",25-Feb-10,1
1200,Albatross Island (SGSSI (IGSISS)),,Diomedea exulans,1354,2009,140,A,1,High,Uncorrected for egg loss,"http://www.sgisland.gs/index.php/(h)South_Georgia_Newsletter,_Jan_2010","W. Misiak, ACAP Secretariat.",25-Feb-10,1
1200,Albatross Island (SGSSI (IGSISS)),,Diomedea exulans,1355,2010,129,A,1,High,uncorrected for egg loss.,"http://www.sgisland.gs/index.php/(h)South_Georgia_Newsletter,_Jan_2010","W. Misiak, ACAP Secretariat.",25-Feb-10,1
1200,Albatross Island (SGSSI (IGSISS)),,Diomedea exulans,1835,2011,135,A,1,High,Count conducted before end of egg-laying. It is estimated that eggs would be laid at an additional six nests by the end of the egg-laying period,"Sally Poncet, South Georgia Surveys, unpubl. data","A. Wolfaardt, JNCC",29-Jan-11,1
1200,Albatross Island (SGSSI (IGSISS)),,Diomedea exulans,2485,2012,140,A,1,High,,"Poncet (2012) Albatross and Prion Islands Monitoring Programme 2012 Fieldwork Report. South Georgia Surveys, Stanley","Anton Wolfaardt, Joint Nature Conservation Committee",13-Feb-13,1
1200,Albatross Island (SGSSI (IGSISS)),,Diomedea exulans,2757,2013,133,A,1,High,,"Poncet, S. 2013. South Georgia Surveys Albatross and Prion Islands Monitoring Programme: January 2013 fieldwork report. South Georgia Surveys, Stanley.","Anne Saunders, JNCC",1-May-14,1
1200,Albatross Island (SGSSI (IGSISS)),,Diomedea exulans,2753,2014,144,A,1,High,,Poncet S (2014) Albatross and Prion Islands Monitoring Programme 2014 Fieldwork Report. South Georgia Surveys unpublished report.,"Anne Saunders, JNCC",28-Apr-14,1
1200,Albatross Island (SGSSI (IGSISS)),,Diomedea exulans,3007,2015,136,A,1,High,"Advised that the method has been revised by the author (Sally Poncet, pers. comm.)",Poncet S (2015) Albatross and Prion Islands Monitoring Programme 2015 Fieldwork Report. South Georgia Surveys unpublished report.,"Anne Saunders, JNCC",2-Jun-17,2
1200,Albatross Island (SGSSI (IGSISS)),,Diomedea exulans,3211,2016,146,A,1,High,,Poncet S (2016) Albatross and Prion Islands Monitoring Programme 2016 Fieldwork Report. South Georgia Surveys unpublished report.,"Anne Saunders, Joint Nature Conservation Committee",2-Jun-17,1
1200,Albatross Island (SGSSI (IGSISS)),,Diomedea exulans,3212,2017,135,A,1,High,,Poncet S (2017) Albatross and Prion Islands Monitoring Programme 2017 Fieldwork Report. South Georgia Surveys unpublished report.,"Anne Saunders, Joint Nature Conservation Committee",2-Jun-17,1
1200,Albatross Island (SGSSI (IGSISS)),,Diomedea exulans,3572,2018,135,A,1,High,,"Poncet, S. (2018). South Georgia Surveys Albatross and Prion Islands Monitoring Programme: 2018 Fieldwork Report. South Georgia Surveys, Stanley, Falkland Islands.","Megan Tierney , JNCC",23-Mar-19,1
