bs id,site,Part site name,Species,pop id,Year,Count,Method,Reliability,Survey accuracy,Notes,References,from,date submitted,Version
1400,Gough Island,Albatross Plain,Diomedea dabbenena,1,2004,294,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,False Peak,Diomedea dabbenena,2,2004,74,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,GP Valley,Diomedea dabbenena,3,2004,694,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,Gonydale,Diomedea dabbenena,4,2004,363,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,Spire Crag,Diomedea dabbenena,5,2004,210,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,Tafelkop,Diomedea dabbenena,6,2004,23,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,Tarn Moss,Diomedea dabbenena,7,2004,45,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,Triple Peak,Diomedea dabbenena,8,2004,166,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,Albatross Plain,Diomedea dabbenena,1,2005,283,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,False Peak,Diomedea dabbenena,2,2005,,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,GP Valley,Diomedea dabbenena,3,2005,724,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,Gonydale,Diomedea dabbenena,4,2005,116,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,Spire Crag,Diomedea dabbenena,5,2005,,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,Tafelkop,Diomedea dabbenena,6,2005,17,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,Tarn Moss,Diomedea dabbenena,7,2005,,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
1400,Gough Island,Triple Peak,Diomedea dabbenena,8,2005,130,A,1,High,"",Oppel et al. 2022,A. Steinfurth/RSPB,19-Aug-24,1
